CD_NAME,NCBI_NAME,GeneID,Synonyms,map_location,description,Other_designations
CD74,CD74,972,DHLAG HLADG II Ia-GAMMA,5q33.1,CD74 molecule,"HLA class II histocompatibility antigen gamma chain; CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated); CD74 molecule, major histocompatibility complex, class II invariant chain; HLA-DR antigens-associated invariant chain; HLA-DR-gamma; Ia-associated invariant chain; MHC HLA-DR gamma chain; gamma chain of class II antigens; p33"
CD75,"-",-,-,-,-,-
CD75s,"-",-,-,-,-,-
CD77,"-",-,-,-,-,-
CD79a,CD79A,973,IGA MB-1,19q13.2,CD79a molecule,"B-cell antigen receptor complex-associated protein alpha chain; CD79a antigen (immunoglobulin-associated alpha); CD79a molecule, immunoglobulin-associated alpha; MB-1 membrane glycoprotein; ig-alpha; membrane-bound immunoglobulin-associated protein; surface IgM-associated protein"
CD79b,CD79B,974,AGM6 B29 IGB,17q23.3,CD79b molecule,"B-cell antigen receptor complex-associated protein beta chain; B-cell-specific glycoprotein B29; CD79b antigen (immunoglobulin-associated beta); CD79b molecule, immunoglobulin-associated beta; Ig-beta; immunoglobulin-associated B29 protein"
CD80,CD80,941,B7 B7-1 B7.1 BB1 CD28LG CD28LG1 LAB7,3q13.33,CD80 molecule,"T-lymphocyte activation antigen CD80; B-lymphocyte activation antigen B7; CD80 antigen (CD28 antigen ligand 1, B7-1 antigen); CTLA-4 counter-receptor B7.1; activation B7-1 antigen; costimulatory factor CD80; costimulatory molecule variant IgV-CD80"
CD81,CD81,975,CVID6 S5.7 TAPA1 TSPAN28,11p15.5,CD81 molecule,CD81 antigen; 26 kDa cell surface protein TAPA-1; CD81 antigen (target of antiproliferative antibody 1); tetraspanin-28; tspan-28
CD82,CD82,3732,4F9 C33 GR15 IA4 KAI1 R2 SAR2 ST6 TSPAN27,11p11.2,CD82 molecule,"CD82 antigen; C33 antigen; inducible membrane protein R2; kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen, antigen detected by monoclonal and antibody IA4)); metastasis suppressor Kangai-1; tetraspanin-27; tspan-27"
CD83,CD83,9308,BL11 HB15,6p23,CD83 molecule,"CD83 antigen; B-cell activation protein; CD83 antigen (activated B lymphocytes, immunoglobulin superfamily); cell surface protein HB15; cell-surface glycoprotein; hCD83"
CD84,CD84,8832,LY9B SLAMF5 hCD84 mCD84,1q23.3,CD84 molecule,SLAM family member 5; CD84 antigen (leukocyte antigen); cell surface antigen MAX.3; hly9-beta; leucocyte differentiation antigen CD84; leukocyte antigen CD84; leukocyte differentiation antigen CD84; signaling lymphocytic activation molecule 5
CD85A,LILRB3,11025,CD85A HL9 ILT-5 ILT5 LILRA6 LIR-3 LIR3 PIR-B PIRB,19q13.42,leukocyte immunoglobulin like receptor B3,"leukocyte immunoglobulin-like receptor subfamily B member 3; CD85 antigen-like family member A; immunoglobulin-like transcript 5; leucocyte Ig-like receptor B3; leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6; leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3; monocyte inhibitory receptor HL9"
CD85B,LILRA6,79168,CD85b ILT-8 ILT5 ILT8 LILRB3 LILRB6,19q13.42,leukocyte immunoglobulin like receptor A6,"leukocyte immunoglobulin-like receptor subfamily A member 6; LOW QUALITY PROTEIN: leukocyte immunoglobulin-like receptor subfamily A member 6; immunoglobulin-like transcript 5; immunoglobulin-like transcript 8; leucocyte Ig-like receptor A6; leukocyte Ig-like receptor; leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6; leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 6"
CD85C,LILRB5,10990,CD85C LIR-8 LIR8,19q13.42,leukocyte immunoglobulin like receptor B5,"leukocyte immunoglobulin-like receptor subfamily B member 5; CD85 antigen-like family member C; leucocyte Ig-like receptor B5; leukocyte immunoglobulin-like receptor 8; leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5"
CD85D,LILRB2,10288,CD85D ILT-4 ILT4 LIR-2 LIR2 MIR-10 MIR10,19q13.42,leukocyte immunoglobulin like receptor B2,"leukocyte immunoglobulin-like receptor subfamily B member 2; CD85 antigen-like family member D; Ig-like transcript 4; leucocyte Ig-like receptor B2; leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2; monocyte/macrophage immunoglobulin-like receptor 10; myeloid inhibitory receptor 10"
CD85F,LILRA5,353514,CD85 CD85F ILT-11 ILT11 LILRB7 LIR-9 LIR9,19q13.42,leukocyte immunoglobulin like receptor A5,"leukocyte immunoglobulin-like receptor subfamily A member 5; CD85 antigen-like family member F; immunoglobulin-like transcript 11 protein; leucocyte Ig-like receptor A5; leukocyte Ig-like receptor 9; leukocyte immunoglobulin-like receptor 9; leukocyte immunoglobulin-like receptor subfamily A member 5 soluble; leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5; leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 7"
CD85G,LILRA4,23547,CD85g ILT7,19q13.42,leukocyte immunoglobulin like receptor A4,"leukocyte immunoglobulin-like receptor subfamily A member 4; CD85 antigen-like family member G; immunoglobulin-like transcript 7; leucocyte Ig-like receptor A4; leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4; leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 4"
CD85H,LILRA2,11027,CD85H ILT1 LIR-7 LIR7,19q13.42,leukocyte immunoglobulin like receptor A2,"leukocyte immunoglobulin-like receptor subfamily A member 2; CD85 antigen-like family member H; immunoglobulin-like transcript 1; leucocyte Ig-like receptor A2; leukocyte immunoglobulin-like receptor 7; leukocyte immunoglobulin-like receptor subfamily A member 2 soluble; leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2"
CD85I,LILRA1,11024,CD85I LIR-6 LIR6,19q13.42,leukocyte immunoglobulin like receptor A1,"leukocyte immunoglobulin-like receptor subfamily A member 1; CD85 antigen-like family member I; leucocyte Ig-like receptor A1; leukocyte immunoglobulin-like receptor 6; leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1"
CD85J,LILRB1,10859,CD85J ILT-2 ILT2 LIR-1 LIR1 MIR-7 MIR7 PIR-B PIRB,19q13.42,leukocyte immunoglobulin like receptor B1,"leukocyte immunoglobulin-like receptor subfamily B member 1; CD85 antigen-like family member J; Ig-like transcript 2; leucocyte Ig-like receptor B1; leukocyte immunoglobulin-like receptor subfamily B member 1 soluble isoform; leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1; monocyte/macrophage immunoglobulin-like receptor 7; myeloid inhibitory receptor 7"
CD85K,LILRB4,11006,CD85K ILT-3 ILT3 LIR-5 LIR5,19q13.42,leukocyte immunoglobulin like receptor B4,"leukocyte immunoglobulin-like receptor subfamily B member 4; CD85 antigen-like family member K; immunoglobulin-like transcript 3; leucocyte Ig-like receptor B4; leukocyte immunoglobulin-like receptor 5; leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4; monocyte inhibitory receptor HM18"
CD85M,LILRP2,79166,CD85m ILT10 LILRA5,19q13.42,leukocyte immunoglobulin-like receptor pseudogene 2,"immunoglobulin-like transcript 10; leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 5"
CD86,CD86,942,B7-2 B7.2 B70 CD28LG2 LAB72,3q13.33,CD86 molecule,"T-lymphocyte activation antigen CD86; B-lymphocyte activation antigen B7-2; BU63; CD86 antigen (CD28 antigen ligand 2, B7-2 antigen); CTLA-4 counter-receptor B7.2; FUN-1"
CD87,PLAUR,5329,CD87 U-PAR UPAR URKR,19q13.31,"plasminogen activator, urokinase receptor",urokinase plasminogen activator surface receptor; monocyte activation antigen Mo3; u-plasminogen activator receptor form 2; urokinase-type plasminogen activator (uPA) receptor
CD88,C5AR1,728,C5A C5AR C5R1 CD88,19q13.32,complement C5a receptor 1,C5a anaphylatoxin chemotactic receptor 1; C5a anaphylatoxin receptor; C5a ligand; C5a-R; complement component 5 receptor 1; complement component 5a receptor 1
CD89,FCAR,2204,CD89 CTB-61M7.2 FcalphaRI,19q13.42,Fc fragment of IgA receptor,"immunoglobulin alpha Fc receptor; FCAR variant 14; Fc alpha receptor; Fc fragment of IgA, receptor for"
CD90,THY1,7070,CD90 CDw90,11q23.3,Thy-1 cell surface antigen,thy-1 membrane glycoprotein; Thy-1 T-cell antigen; thy-1 antigen
CD91,LRP1,4035,A2MR APOER APR CD91 IGFBP3R KPA LRP LRP1A TGFBR5,12q13.3,LDL receptor related protein 1,prolow-density lipoprotein receptor-related protein 1; TbetaR-V/LRP-1/IGFBP-3 receptor; alpha-2-macroglobulin receptor; apolipoprotein E receptor; low density lipoprotein receptor-related protein 1; type V tgf-beta receptor
CD92,SLC44A1,23446,CD92 CDW92 CHTL1 CTL1,9q31.1-q31.2,solute carrier family 44 member 1,"choline transporter-like protein 1; CDW92 antigen; solute carrier family 44 (choline transporter), member 1"
CD93,CD93,22918,C1QR1 C1qR(P) C1qRP CDw93 ECSM3 MXRA4 dJ737E23.1,20p11.21,CD93 molecule,complement component C1q receptor; C1q receptor 1; C1q/MBL/SPA receptor; C1qR; CD93 antigen; complement component 1 q subcomponent receptor 1; matrix-remodeling-associated protein 4; matrix-remodelling associated 4
CD94,KLRD1,3824,CD94,12p13.2,killer cell lectin like receptor D1,"natural killer cells antigen CD94; CD94 antigen; KP43; NK cell receptor; killer cell lectin-like receptor subfamily D, member 1"
CD95,FAS,355,ALPS1A APO-1 APT1 CD95 FAS1 FASTM TNFRSF6,10q23.31,Fas cell surface death receptor,"tumor necrosis factor receptor superfamily member 6; APO-1 cell surface antigen; CD95 antigen; FASLG receptor; Fas (TNF receptor superfamily, member 6); Fas AMA; TNF receptor superfamily member 6; apoptosis antigen 1; apoptosis signaling receptor FAS; apoptosis-mediating surface antigen FAS; mutant tumor necrosis receptor superfamily member 6; tumor necrosis factor receptor superfamily, member 6"
CD96,CD96,10225,TACTILE,3q13.13-q13.2,CD96 molecule,"T-cell surface protein tactile; T cell activation, increased late expression; cell surface antigen CD96; t cell-activated increased late expression protein"
CD97,ADGRE5,976,CD97 TM7LN1,19p13.12,adhesion G protein-coupled receptor E5,"CD97 antigen; CD97 molecule; leukocyte antigen CD97; seven transmembrane helix receptor; seven-span transmembrane protein; seven-transmembrane, heterodimeric receptor associated with inflammation"
CD98,SLC3A2,6520,4F2 4F2HC 4T2HC CD98 CD98HC MDU1 NACAE,11q12.3,solute carrier family 3 member 2,"4F2 cell-surface antigen heavy chain; CD98 heavy chain; antigen defined by monoclonal antibody 4F2, heavy chain; antigen identified by monoclonal antibodies 4F2, TRA1.10, TROP4, and T43; lymphocyte activation antigen 4F2 large subunit; monoclonal antibody 44D7; solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2; solute carrier family 3 (amino acid transporter heavy chain), member 2"
CD99,CD99,4267,HBA71 MIC2 MIC2X MIC2Y MSK5X,Xp22.33 and Yp11.2,CD99 molecule,"CD99 antigen; E2 antigen; MIC2 (monoclonal antibody 12E7); T-cell surface glycoprotein E2; antigen identified by monoclonal 12E7, Y homolog; antigen identified by monoclonal antibodies 12E7, F21 and O13; cell surface antigen 12E7; cell surface antigen HBA-71; cell surface antigen O13; surface antigen MIC2"
CD100,SEMA4D,10507,C9orf164 CD100 M-sema-G SEMAJ coll-4,9q22.2,semaphorin 4D,"semaphorin-4D; A8; BB18; GR3; sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D; sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, 4D"
CD101,CD101,9398,EWI-101 IGSF2 V7,1p13.1,CD101 molecule,immunoglobulin superfamily member 2; cell surface glycoprotein V7; glu-Trp-Ile EWI motif-containing protein 101; leukocyte surface protein
CD102,ICAM2,3384,CD102,17q23.3,intercellular adhesion molecule 2,intercellular adhesion molecule 2; ICAM-2
CD103,ITGAE,3682,CD103 HUMINAE,17p13.2,integrin subunit alpha E,"integrin alpha-E; HML-1 antigen; antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide; human mucosal lymphocyte antigen 1, alpha polypeptide; integrin alpha-IEL; integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide); mucosal lymphocyte 1 antigen"
CD104,ITGB4,3691,CD104 GP150,17q25.1,integrin subunit beta 4,integrin beta-4; CD104 antigen
CD105,ENG,2022,END HHT1 ORW1,9q34.11,endoglin,endoglin; CD105 antigen
CD106,VCAM1,7412,CD106 INCAM-100,1p21.2,vascular cell adhesion molecule 1,vascular cell adhesion protein 1; CD106 antigen
CD107a,LAMP1,3916,CD107a LAMPA LGP120,13q34,lysosomal associated membrane protein 1,lysosome-associated membrane glycoprotein 1; CD107 antigen-like family member A; LAMP-1; lysosome-associated membrane protein 1
CD107b,LAMP2,3920,CD107b LAMP-2 LAMPB LGP-96 LGP110,Xq24,lysosomal associated membrane protein 2,lysosome-associated membrane glycoprotein 2; CD107 antigen-like family member B
CD108,SEMA7A,8482,CD108 CDw108 H-SEMA-K1 H-Sema-L JMH SEMAK1 SEMAL,15q24.1,semaphorin 7A (John Milton Hagen blood group),"semaphorin-7A; JMH blood group antigen; John Milton Hagen blood group H-Sema K1; john-Milton-Hargen human blood group Ag; sema K1; sema L; sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A (JMH blood group); sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, 7A; semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group); semaphorin-K1; semaphorin-L"
CD109,CD109,135228,CPAMD7 p180 r150,6q13,CD109 molecule,CD109 antigen; 150 kDa TGF-beta-1-binding protein; C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7; Gov platelet alloantigens; activated T-cell marker CD109; platelet-specific Gov antigen
CD110,MPL,4352,C-MPL CD110 MPLV THCYT2 TPOR,1p34.2,"MPL proto-oncogene, thrombopoietin receptor",thrombopoietin receptor; TPO-R; myeloproliferative leukemia protein; myeloproliferative leukemia virus oncogene; proto-oncogene c-Mpl
CD111,NECTIN1,5818,CD111 CLPED1 ED4 HIgR HV1S HVEC OFC7 PRR PRR1 PVRL1 PVRR PVRR1 SK-12 nectin-1,11q23.3,nectin cell adhesion molecule 1,nectin-1; ectodermal dysplasia 4 (Margarita Island type); herpes simplex virus type 1 sensitivity; herpes virus entry mediator C; herpesvirus Ig-like receptor; nectin 1; poliovirus receptor-like 1; poliovirus receptor-related 1 (herpesvirus entry mediator C); poliovirus receptor-related protein 1
CD112,NECTIN2,5819,CD112 HVEB PRR2 PVRL2 PVRR2,19q13.32,nectin cell adhesion molecule 2,nectin-2; herpesvirus entry protein B; poliovirus receptor-like 2; poliovirus receptor-related 2 (herpesvirus entry mediator B)
CD113,NECTIN3,25945,CD113 CDW113 NECTIN-3 PPR3 PRR3 PVRL3 PVRR3,3q13.13,nectin cell adhesion molecule 3,nectin-3; nectin 3; poliovirus receptor-related 3; poliovirus receptor-related protein 3
CD114,CSF3R,1441,CD114 GCSFR SCN7,1p34.3,colony stimulating factor 3 receptor,granulocyte colony-stimulating factor receptor; CD114 antigen; G-CSF receptor; G-CSF-R; colony stimulating factor 3 receptor (granulocyte)
CD115,CSF1R,1436,C-FMS CD115 CSF-1R CSFR FIM2 FMS HDLS M-CSF-R,5q32,colony stimulating factor 1 receptor,macrophage colony-stimulating factor 1 receptor; CD115 antigen; CSF-1 receptor; FMS proto-oncogene; McDonough feline sarcoma viral (v-fms) oncogene homolog; macrophage colony stimulating factor I receptor; proto-oncogene c-Fms
CD116,CSF2RA,1438,CD116 CDw116 CSF2R CSF2RAX CSF2RAY CSF2RX CSF2RY GM-CSF-R-alpha GMCSFR GMR SMDP4,Xp22.33 and Yp11.2,colony stimulating factor 2 receptor alpha subunit,"granulocyte-macrophage colony-stimulating factor receptor subunit alpha; CD116 antigen; GM-CSF receptor alpha subunit; GMCSFR-alpha; GMR-alpha; colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage); granulocyte-macrophage colony-stimulating factor receptor alpha chain"
CD117,KIT,3815,C-Kit CD117 PBT SCFR,4q12,KIT proto-oncogene receptor tyrosine kinase,mast/stem cell growth factor receptor Kit; c-Kit protooncogene; p145 c-kit; piebald trait protein; proto-oncogene c-Kit; proto-oncogene tyrosine-protein kinase Kit; soluble KIT variant 1; tyrosine-protein kinase Kit; v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog; v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene-like protein
CD118,LIFR,3977,CD118 LIF-R SJS2 STWS SWS,5p13.1,leukemia inhibitory factor receptor alpha,leukemia inhibitory factor receptor; CD118 antigen; LIF receptor
CD119,IFNGR1,3459,CD119 IFNGR IMD27A IMD27B,6q23.3,interferon gamma receptor 1,"interferon gamma receptor 1; AVP, type 2; CD119 antigen; CDw119; IFN-gamma receptor 1; IFN-gamma-R-alpha; IFN-gamma-R1; antiviral protein, type 2; immune interferon receptor 1; interferon-gamma receptor alpha chain"
CD120a,TNFRSF1A,7132,CD120a FPF TBP1 TNF-R TNF-R-I TNF-R55 TNFAR TNFR1 TNFR55 TNFR60 p55 p55-R p60,12p13.31,TNF receptor superfamily member 1A,tumor necrosis factor receptor superfamily member 1A; TNF-R1; TNF-RI; TNFR-I; tumor necrosis factor binding protein 1; tumor necrosis factor receptor 1A isoform beta; tumor necrosis factor receptor type 1; tumor necrosis factor-alpha receptor
CD120b,TNFRSF1B,7133,CD120b TBPII TNF-R-II TNF-R75 TNFBR TNFR1B TNFR2 TNFR80 p75 p75TNFR,1p36.22,TNF receptor superfamily member 1B,tumor necrosis factor receptor superfamily member 1B; TNF-R2; TNF-RII; p75 TNF receptor; p80 TNF-alpha receptor; soluble TNFR1B variant 1; tumor necrosis factor beta receptor; tumor necrosis factor binding protein 2; tumor necrosis factor receptor 2; tumor necrosis factor receptor type II
CD121a,IL1R1,3554,CD121A D2S1473 IL-1R-alpha IL1R IL1RA P80,2q11.2-q12.1,interleukin 1 receptor type 1,"interleukin-1 receptor type 1; CD121 antigen-like family member A; IL-1R-1; IL-1RT-1; IL-1RT1; interleukin 1 receptor alpha, type I; interleukin-1 receptor alpha; interleukin-1 receptor type I"
CD121b,IL1R2,7850,CD121b CDw121b IL-1R-2 IL-1RT-2 IL-1RT2 IL1R2c IL1RB,2q11.2,interleukin 1 receptor type 2,"interleukin-1 receptor type 2; CD121 antigen-like family member B; IL-1 type II receptor; IL-1R-beta; antigen CDw121b; interleukin 1 receptor type II variant 3; interleukin-1 receptor beta; interleukin-1 receptor type II; type II interleukin-1 receptor, beta"
CD122,IL2RB,3560,CD122 IL15RB P70-75,22q12.3,interleukin 2 receptor subunit beta,"interleukin-2 receptor subunit beta; CD122 antigen; IL-2 receptor subunit beta; IL-2R subunit beta; IL-2RB; high affinity IL-2 receptor beta subunit; high affinity IL-2 receptor subunit beta; interleukin 15 receptor, beta; interleukin 2 receptor, beta; p75"
CD123,IL3RA,3563,CD123 IL3R IL3RAY IL3RX IL3RY hIL-3Ra,Xp22.33 and Yp11.2,interleukin 3 receptor subunit alpha,"interleukin-3 receptor subunit alpha; CD123 antigen; IL-3 receptor alpha SP2 isoform; IL-3 receptor subunit alpha; IL-3R subunit alpha; IL-3R-alpha; IL-3RA; interleukin 3 receptor, alpha (low affinity)"
CD124,IL4R,3566,CD124 IL-4RA IL4RA,16p12.1,interleukin 4 receptor,interleukin-4 receptor subunit alpha; IL-4 receptor subunit alpha; IL4R nirs variant 1; interleukin 13 receptor; interleukin-4 receptor alpha chain
CD125,IL5RA,3568,CD125 CDw125 HSIL5R3 IL5R,3p26.2,interleukin 5 receptor subunit alpha,"interleukin-5 receptor subunit alpha; CD125 antigen; IL-5 receptor subunit alpha; IL-5R subunit alpha; interleukin 5 receptor type 3; interleukin 5 receptor, alpha; interleukin-5 receptor alpha chain"
CD126,IL6R,3570,CD126 IL-6R-1 IL-6RA IL6Q IL6RA IL6RQ gp80,1q21.3,interleukin 6 receptor,interleukin-6 receptor subunit alpha; CD126 antigen; IL-6 receptor subunit alpha; IL-6R 1; membrane glycoprotein 80
CD127,IL7R,3575,CD127 CDW127 IL-7R-alpha IL7RA ILRA,5p13.2,interleukin 7 receptor,interleukin-7 receptor subunit alpha; CD127 antigen; IL-7 receptor subunit alpha; IL-7R subunit alpha; interleukin 7 receptor alpha chain; interleukin 7 receptor isoform H5-6
CD129,IL9R,3581,CD129 IL-9R,Xq28 and Yq12,interleukin 9 receptor,interleukin-9 receptor; IL-9 receptor
CD130,IL6ST,3572,CD130 CDW130 GP130 IL-6RB,5q11.2,interleukin 6 signal transducer,"interleukin-6 receptor subunit beta; CD130 antigen; IL-6 receptor subunit beta; IL-6R subunit beta; gp130 of the rheumatoid arthritis antigenic peptide-bearing soluble form; gp130, oncostatin M receptor; interleukin receptor beta chain; membrane glycoprotein 130; membrane glycoprotein gp130; oncostatin-M receptor subunit alpha"
CD131,CSF2RB,1439,CD131 CDw131 IL3RB IL5RB SMDP5,22q12.3,colony stimulating factor 2 receptor beta common subunit,"cytokine receptor common subunit beta; GM-CSF/IL-3/IL-5 receptor common beta subunit; GM-CSF/IL-3/IL-5 receptor common beta-chain; beta common cytokine receptor; colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage); colony-stimulating factor-2 receptor, beta, low-affinity; interleukin 3 receptor/granulocyte-macrophage colony stimulating factor 3 receptor, beta (high affinity)"
CD132,IL2RG,3561,CD132 CIDX IL-2RG IMD4 P64 SCIDX SCIDX1,Xq13.1,interleukin 2 receptor subunit gamma,"cytokine receptor common subunit gamma; CD132 antigen; IL-2 receptor subunit gamma; IL-2R subunit gamma; common cytokine receptor gamma chain; gammaC; interleukin 2 receptor, gamma"
CD133,PROM1,8842,AC133 CD133 CORD12 MCDR2 MSTP061 PROML1 RP41 STGD4,4p15.32,prominin 1,prominin-1; antigen AC133; hProminin; hematopoietic stem cell antigen; prominin-like protein 1
CD134,TNFRSF4,7293,ACT35 CD134 IMD16 OX40 TXGP1L,1p36.33,TNF receptor superfamily member 4,tumor necrosis factor receptor superfamily member 4; ACT35 antigen; ATC35 antigen; CD134 antigen; OX40 antigen; OX40 cell surface antigen; OX40 homologue; OX40L receptor; TAX transcriptionally-activated glycoprotein 1 receptor; lymphoid activation antigene ACT35; tax-transcriptionally activated glycoprotein 1 receptor
CD135,FLT3,2322,CD135 FLK-2 FLK2 STK1,13q12.2,fms related tyrosine kinase 3,receptor-type tyrosine-protein kinase FLT3; CD135 antigen; FL cytokine receptor; fetal liver kinase 2; fms-like tyrosine kinase 3; growth factor receptor tyrosine kinase type III; stem cell tyrosine kinase 1
CD136,MST1R,4486,CD136 CDw136 NPCA3 PTK8 RON,3p21.31,macrophage stimulating 1 receptor,macrophage-stimulating protein receptor; MSP receptor; PTK8 protein tyrosine kinase 8; c-met-related tyrosine kinase; p185-Ron
CD137,TNFRSF9,3604,4-1BB CD137 CDw137 ILA,1p36.23,TNF receptor superfamily member 9,"tumor necrosis factor receptor superfamily member 9; 4-1BB ligand receptor; CD137 antigen; T cell antigen ILA; T-cell antigen 4-1BB homolog; homolog of mouse 4-1BB; induced by lymphocyte activation (ILA); interleukin-activated receptor, homolog of mouse Ly63; receptor protein 4-1BB"
CD138,SDC1,6382,CD138 SDC SYND1 syndecan,2p24.1,syndecan 1,syndecan-1; CD138 antigen; heparan sulfate proteoglycan fibroblast growth factor receptor; syndecan proteoglycan 1
CD140a,PDGFRA,5156,CD140A PDGFR-2 PDGFR2,4q12,platelet derived growth factor receptor alpha,"platelet-derived growth factor receptor alpha; CD140 antigen-like family member A; CD140a antigen; PDGF-R-alpha; alpha-type platelet-derived growth factor receptor; platelet-derived growth factor receptor 2; platelet-derived growth factor receptor, alpha polypeptide"
CD140b,PDGFRB,5159,CD140B IBGC4 IMF1 JTK12 KOGS PDGFR PDGFR-1 PDGFR1 PENTT,5q32,platelet derived growth factor receptor beta,"platelet-derived growth factor receptor beta; Activated tyrosine kinase PDGFRB; CD140 antigen-like family member B; NDEL1-PDGFRB; PDGF-R-beta; PDGFR-beta; beta-type platelet-derived growth factor receptor; platelet-derived growth factor receptor 1; platelet-derived growth factor receptor, beta polypeptide"
CD141,THBD,7056,AHUS6 BDCA3 CD141 THPH12 THRM TM,20p11.21,thrombomodulin,thrombomodulin; CD141 antigen; fetomodulin
CD142,F3,2152,CD142 TF TFA,1p21.3,"coagulation factor III, tissue factor","tissue factor; coagulation factor III (thromboplastin, tissue factor)"
CD143,ACE,1636,ACE1 CD143 DCP DCP1,17q23.3,angiotensin I converting enzyme,"angiotensin-converting enzyme; CD143 antigen; angiotensin I converting enzyme (peptidyl-dipeptidase A) 1; angiotensin converting enzyme, somatic isoform; carboxycathepsin; dipeptidyl carboxypeptidase 1; dipeptidyl carboxypeptidase I; kininase II; peptidase P"
CD144,CDH5,1003,7B4 CD144,16q21,cadherin 5,"cadherin-5; 7B4 antigen; VE-cadherin; cadherin 5, type 2 (vascular endothelium); cadherin 5, type 2, VE-cadherin (vascular epithelium); cd144 antigen; endothelial-specific cadherin; vascular endothelial cadherin"
CD146,MCAM,4162,CD146 MUC18,11q23.3,melanoma cell adhesion molecule,cell surface glycoprotein MUC18; Gicerin; S-endo 1 endothelial-associated antigen; cell surface glycoprotein P1H12; melanoma adhesion molecule; melanoma-associated antigen A32; melanoma-associated antigen MUC18
CD147,BSG,682,5F7 CD147 EMMPRIN OK TCSF,19p13.3,basigin (Ok blood group),basigin; OK blood group antigen; collagenase stimulatory factor; extracellular matrix metalloproteinase inducer; leukocyte activation antigen M6; tumor cell-derived collagenase stimulatory factor
CD148,PTPRJ,5795,CD148 DEP1 HPTPeta R-PTP-ETA SCC1,11p11.2,"protein tyrosine phosphatase, receptor type J","receptor-type tyrosine-protein phosphatase eta; CD148 antigen; DEP-1; HPTP eta; R-PTP-J; density-enhanced phosphatase 1; human density enhanced phosphatase-1; protein tyrosine phosphatase, receptor type, J polypeptide; protein-tyrosine phosphatase eta; susceptibility to colon cancer 1, mouse, homolog of"
CD150,SLAMF1,6504,CD150 CDw150 SLAM,1q23.3,signaling lymphocytic activation molecule family member 1,signaling lymphocytic activation molecule; IPO-3; SLAM family member 1
CD151,CD151,977,GP27 MER2 PETA-3 RAPH SFA1 TSPAN24,11p15.5,CD151 molecule (Raph blood group),CD151 antigen; CD151 antigen (Raph blood group); hemidesmosomal tetraspanin CD151; membrane glycoprotein SFA-1; platelet surface glycoprotein gp27; platelet-endothelial cell tetraspan antigen 3; platelet-endothelial tetraspan antigen 3; tetraspanin-24; tspan-24
CD152,CTLA4,1493,ALPS5 CD CD152 CELIAC3 CTLA-4 GRD4 GSE IDDM12,2q33.2,cytotoxic T-lymphocyte associated protein 4,cytotoxic T-lymphocyte protein 4; CD152 isoform; celiac disease 3; cytotoxic T lymphocyte associated antigen 4 short spliced form; cytotoxic T-lymphocyte-associated serine esterase-4; insulin-dependent diabetes mellitus 12; ligand and transmembrane spliced cytotoxic T lymphocyte associated antigen 4
CD153,TNFSF8,944,CD153 CD30L CD30LG TNLG3A,9q32-q33.1,TNF superfamily member 8,"tumor necrosis factor ligand superfamily member 8; CD153 antigen; CD30 antigen ligand; CD30 ligand; CD30-L; tumor necrosis factor (ligand) superfamily, member 8; tumor necrosis factor ligand 3A; tumor necrosis factor superfamily member 8"
CD154,CD40LG,959,CD154 CD40L HIGM1 IGM IMD3 T-BAM TNFSF5 TRAP gp39 hCD40L,Xq26.3,CD40 ligand,CD40 ligand; CD40 antigen ligand; CD40-L; T-B cell-activating molecule; T-cell antigen Gp39; TNF-related activation protein; tumor necrosis factor (ligand) superfamily member 5
